,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Net Premium,"-54,395","-30,084","-49,852","-53,113","-52,051","-55,346","-83,451","-39,563","-40,405","-37,816","-30,479","-32,358"
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,External Brokerage,"13,325","7,370","12,213","13,011","12,751","13,558","20,443","9,692","9,898","9,264","7,467","7,927"
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Gross Premium,"-67,721","-37,454","-62,065","-66,124","-64,802","-68,905","-103,894","-49,255","-50,303","-47,080","-37,945","-40,285"
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,Gross Net Premium,"-33,232",0,0,"-275,613",0,"-113,860","-113,571","-4,001",0,"-25,334",0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,External Brokerage,"4,652",0,0,"38,583",0,"15,939","15,899",560,0,"3,547",0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,Gross Gross Premium,"-37,884",0,0,"-314,196",0,"-129,799","-129,469","-4,562",0,"-28,881",0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,Gross Net Premium,"-369,855",0,0,0,0,0,"-5,588",0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,External Brokerage,"51,776",0,0,0,0,0,782,0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,Gross Gross Premium,"-421,631",0,0,0,0,0,"-6,371",0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,Gross Net Premium,"-374,976",0,0,"-2,290",0,0,"-8,907",0,"-13,351",0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,External Brokerage,"52,493",0,0,321,0,0,"1,247",0,"1,869",0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,Gross Gross Premium,"-427,469",0,0,"-2,611",0,0,"-10,154",0,"-15,220",0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,Gross Net Premium,"-1,473,319","-12,878","-45,517","-153,058","-146,323","-1,059,163","-572,014","-3,263","-24,879","-83,107","4,021","-8,085"
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,External Brokerage,"206,251","1,803","6,372","21,427","20,484","148,273","80,077",457,"3,483","11,634",-563,"1,132"
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,Gross Gross Premium,"-1,679,570","-14,681","-51,889","-174,485","-166,807","-1,207,436","-652,091","-3,720","-28,362","-94,741","4,584","-9,217"
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Net Premium,"-20,973",0,0,"-41,370",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,External Brokerage,"3,315",0,0,"6,540",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Gross Premium,"-24,288",0,0,"-47,910",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Net Premium,0,0,0,"-3,376",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,External Brokerage,0,0,0,534,0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Gross Premium,0,0,0,"-3,910",0,0,0,0,0,0,0,0
